WORD,EXAMPLE,SOURCE
curl, the curl of her smile hinted at a secret she was keeping,gpt-simple
nose, she gently touched the tip of her nose with her finger,gpt-simple
nose," the dog sniffed the air, twitching its nose",gpt-simple
nose, he wrinkled his nose in disgust at the foul smell,gpt-simple
nose, the detective followed his nose and found the hidden treasure,gpt-simple
nose," she had a keen sense of smell, always able to detect the faintest scent with her nose",gpt-simple
structure, the eiffel tower is an iconic structure in paris,gpt-simple
structure, the company is in the process of restructuring its management team,gpt-simple
structure, the grammatical structure of a sentence can greatly affect its meaning,gpt-simple
structure, the architect designed a unique structure for the new museum,gpt-simple
structure, the political structure of the country was undergoing significant changes,gpt-simple
stop, please stop talking during the movie,gpt-simple
stop, they decided to make a quick stop at the grocery store,gpt-simple
stop, i need to find a gas station to stop and refuel,gpt-simple
stop, the police officer ordered the car to stop immediately,gpt-simple
stop, can you please stop playing with your phone and pay attention?,gpt-simple
group, the group of friends gathered at the park for a picnic,gpt-simple
group, the study group met at the library to prepare for the exam,gpt-simple
group, the rock band performed in front of a large group of fans,gpt-simple
group, the committee decided to form a focus group to gather feedback from customers,gpt-simple
group, the teacher divided the students into small groups to work on the project,gpt-simple
depression," after losing his job and going through a breakup, john fell into a deep state of depression",gpt-simple
depression," the economic depression of the 1930s, also known as the great depression, had a severe impact on the global economy",gpt-simple
depression, the doctor diagnosed mary with clinical depression and recommended therapy and medication,gpt-simple
depression," the painting depicted a scene of gloom and despair, reflecting the artist's feelings of depression",gpt-simple
depression, the pressure from school and extracurricular activities caused lily to experience bouts of anxiety and depression,gpt-simple
heart," she wore a locket around her neck, close to her heart",gpt-simple
heart, the surgeon held the patient's heart in his hands during the operation,gpt-simple
heart," he poured out his heart to her, confessing his deepest secrets",gpt-simple
heart, the heart of the matter was a disagreement over finances,gpt-simple
heart, the team showed great heart and determination in their comeback victory,gpt-simple
adore, i absolutely adore the smell of freshly baked bread,gpt-simple
adore, she adores her little sister and always takes care of her,gpt-simple
adore," he adores spending his weekends at the beach, soaking up the sun",gpt-simple
adore, the fans adore their favorite singer and cheer loudly at every concert,gpt-simple
adore, the cat adores lying in the sunbeam and purring contently,gpt-simple
goal, his ultimate goal is to become a successful entrepreneur,gpt-simple
goal, the soccer player scored a goal in the final minutes of the game,gpt-simple
goal, she set a personal goal to read 50 books this year,gpt-simple
goal, the company's goal is to provide high-quality products at affordable prices,gpt-simple
goal, our main goal is to create a safe and inclusive community for everyone,gpt-simple
growth, the plant showed remarkable growth after being watered regularly,gpt-simple
growth, the company experienced rapid growth in its profits last year,gpt-simple
growth, the city's population growth has led to increased traffic congestion,gpt-simple
growth, the child's emotional growth was evident as they became more confident and independent,gpt-simple
growth, the government's policies aim to promote economic growth and job creation,gpt-simple
perfect, she baked a perfect cake for her daughter's birthday,gpt-simple
perfect, the weather was perfect for a picnic in the park,gpt-simple
perfect," despite her nerves, she delivered a perfect presentation",gpt-simple
perfect," his timing was perfect, as he arrived just in time for the surprise party",gpt-simple
perfect, the painting was a perfect replica of the original masterpiece,gpt-simple
recycle, i always make an effort to recycle my plastic bottles and cans,gpt-simple
recycle, the recycling plant processes tons of paper and cardboard every day,gpt-simple
recycle, she decided to recycle her old clothes by donating them to a local charity,gpt-simple
recycle, the artist used recycled materials to create a unique sculpture,gpt-simple
recycle, we should recycle our old electronics instead of simply throwing them away,gpt-simple
choose, i need to choose between the red or blue shirt to wear tonight,gpt-simple
choose, sarah struggled to choose a career path that would make her happy,gpt-simple
choose," the menu was filled with so many delicious options, it was hard to choose just one",gpt-simple
choose, the committee will choose a winner for the writing competition based on creativity and originality,gpt-simple
choose," tom couldn't decide which movie to watch, so he asked his friends to help him choose",gpt-simple
enter," i enter the room quietly, not wanting to disturb anyone",gpt-simple
enter, please enter your username and password to access the website,gpt-simple
enter, we enter the restaurant and are immediately greeted by a hostess,gpt-simple
enter," the detective enters the crime scene, carefully examining the evidence",gpt-simple
enter," the actor enters the stage with confidence, ready to perform",gpt-simple
minister, the prime minister addressed the nation in his televised speech,gpt-simple
minister, the foreign minister held a meeting with the ambassador,gpt-simple
minister, the minister of finance announced new tax regulations,gpt-simple
minister, the minister of health inaugurated a new hospital facility,gpt-simple
minister, the minister of education visited a local school to assess its condition,gpt-simple
blessing, the priest gave his blessing to the newly married couple,gpt-simple
blessing, winning the lottery was a great blessing for the struggling family,gpt-simple
blessing, she considered her good health to be a true blessing,gpt-simple
blessing, the rain was a blessing for the parched crops,gpt-simple
blessing, being surrounded by loved ones is a true blessing,gpt-simple
different, the two paintings are completely different in style,gpt-simple
different, my brother and i have different preferences when it comes to music,gpt-simple
different, the two teams have different strategies for winning the game,gpt-simple
different, she has a different perspective on the issue,gpt-simple
different, the siblings have different eye colors despite having the same parents,gpt-simple
middle," in the middle of the room, there was a large table",gpt-simple
middle," she was the middle child in her family, with an older and a younger sibling",gpt-simple
middle, he found himself in the middle of a heated argument between his two friends,gpt-simple
middle," the temperature in the room was neither too hot nor too cold, it was just right in the middle",gpt-simple
middle," the book fell open to a page in the middle, where a bookmark had been left",gpt-simple
taste, i love the taste of chocolate,gpt-simple
taste, the chef added too much salt and it ruined the taste of the soup,gpt-simple
taste," she has a sophisticated taste in music, always seeking out new and unique artists",gpt-simple
taste, the wine has a fruity taste with hints of berries and vanilla,gpt-simple
taste, he couldn't believe the taste of victory after winning the championship,gpt-simple
away," she walked away from the argument, not wanting to engage in any more drama",gpt-simple
away, the children ran away from the scary-looking dog that was chasing them,gpt-simple
away, i can't wait to get away from the city and relax in the peaceful countryside,gpt-simple
away, please step away from the edge of the platform for your own safety,gpt-simple
away," the bus drove away just as i reached the bus stop, leaving me stranded",gpt-simple
market, i went to the farmers' market to buy fresh fruits and vegetables,gpt-simple
market," the stock market crashed, causing investors to lose millions of dollars",gpt-simple
market, she opened a stall at the flea market to sell her handmade jewelry,gpt-simple
market, the market for electric cars is steadily growing as more people become environmentally conscious,gpt-simple
market, he found a rare comic book at a collector's market,gpt-simple
bone, she fell off her bike and broke a bone in her arm,gpt-simple
bone, the dog buried its bone in the backyard,gpt-simple
bone, the archaeologists discovered ancient animal bones at the excavation site,gpt-simple
bone, the chef added bone marrow to the soup for extra flavor,gpt-simple
bone," after hours of hiking, her legs felt like jelly, bone tired from exhaustion",gpt-simple
full, the glass is full of water,gpt-simple
full," after eating a large meal, i feel full",gpt-simple
full, the stadium was full of cheering fans,gpt-simple
full, my schedule is full with appointments today,gpt-simple
full, she was full of excitement when she received the news,gpt-simple
point, can you please point me in the direction of the nearest gas station?,gpt-simple
point, the teacher used a laser pointer to highlight the key points on the presentation slide,gpt-simple
point," she made a valid point during the debate, supporting her argument with strong evidence",gpt-simple
point, the hiker reached the highest point of the mountain and enjoyed a breathtaking view,gpt-simple
point, the meeting reached a turning point when they finally agreed on a compromise,gpt-simple
order, i need to place an order for new office supplies,gpt-simple
order, the teacher asked the students to arrange themselves in alphabetical order,gpt-simple
order, the court issued a restraining order against the stalker,gpt-simple
order, the chef prepared the dishes in a specific order,gpt-simple
order, the company received a large order for their new product,gpt-simple
ship," the ship sailed across the ocean, carrying passengers and cargo",gpt-simple
ship, she decided to ship her belongings to her new home instead of taking them on the plane,gpt-simple
ship, the ship of state is facing turbulent times with political unrest and economic uncertainty,gpt-simple
ship, they are planning to ship the new product to stores nationwide next week,gpt-simple
ship, the couple embarked on a romantic cruise aboard a luxury ship,gpt-simple
military, the military conducted a training exercise in the desert,gpt-simple
military, my grandfather served in the military during world war ii,gpt-simple
military, the government allocated a large budget for military spending,gpt-simple
military, the military base is located on the outskirts of the city,gpt-simple
military, the military has strict rules and regulations that soldiers must follow,gpt-simple
receive, i will receive a package tomorrow,gpt-simple
receive, she was delighted to receive a promotion at work,gpt-simple
receive, the school will receive a donation from a local business,gpt-simple
receive, the team will receive their medals after the championship game,gpt-simple
receive, he was surprised to receive a letter from an old friend,gpt-simple
combine,she used a blender to combine the ingredients for the smoothie,gpt-simple
combine,they decided to combine their resources and start a business together,gpt-simple
combine,the artist was able to combine different art styles to create a unique masterpiece,gpt-simple
combine,the team was able to combine their efforts and win the championship,gpt-simple
combine,he was able to combine his love for music and technology by creating a music streaming platform,gpt-simple
shine," the sun will shine brightly today, illuminating the entire city",gpt-simple
shine, she applied a coat of polish to make her shoes shine,gpt-simple
shine, the talented musician's performance on stage made her talent shine,gpt-simple
shine, the diamond necklace sparkled and shone under the bright lights,gpt-simple
shine," the car's headlights shine brightly in the darkness, guiding the way",gpt-simple
patronage, the local museum relies on the financial patronage of wealthy individuals to fund its exhibitions and programs,gpt-simple
patronage, the politician was accused of using his political power to secure patronage positions for his friends and supporters,gpt-simple
patronage," the artist was thrilled when she received the patronage of a well-known gallery, as it provided her with both financial support and exposure",gpt-simple
patronage, the restaurant's success is largely due to the patronage of loyal customers who keep coming back for the delicious food and friendly service,gpt-simple
patronage, the university established a scholarship program to provide educational opportunities to students who lack the financial patronage necessary to pursue higher education,gpt-simple
charge," the police officer shouted, ""stop! you're under arrest for the charge of theft!""",gpt-simple
charge," the phone battery is running low, i need to charge it",gpt-simple
charge, she made a charge towards the finish line and won the race,gpt-simple
charge, the company plans to charge a fee for their new service,gpt-simple
charge, the soldier bravely led the charge into enemy territory,gpt-simple
blow," the wind began to blow harder, signaling the approach of a storm",gpt-simple
blow," the boxer delivered a powerful blow to his opponent's jaw, knocking him out cold",gpt-simple
blow," when the birthday girl blew out the candles, everyone cheered and clapped",gpt-simple
blow, the construction workers used dynamite to blow up the old building,gpt-simple
blow," the whistle blew, indicating the end of the game",gpt-simple
violate, the police arrested him for attempting to violate the law,gpt-simple
violate, the company was sued for violating environmental regulations,gpt-simple
violate, the movie's graphic content violated the audience's sensibilities,gpt-simple
violate, the teacher warned the students not to violate the honor code,gpt-simple
violate, the protestors accused the government of violating their human rights,gpt-simple
nurse, the nurse checked the patient's vital signs and recorded them in the medical chart,gpt-simple
nurse, she decided to pursue a career as a nurse because she had a passion for helping others,gpt-simple
nurse," the nurse carefully administered the medication to the patient, ensuring the correct dosage",gpt-simple
nurse, the nurse comforted the child and reassured them that everything would be okay,gpt-simple
nurse, he was grateful for the nurse's kindness and support during his stay in the hospital,gpt-simple
foreign, i have a hard time understanding foreign languages,gpt-simple
foreign, the company is planning to expand into foreign markets,gpt-simple
foreign, she felt out of place in the foreign country,gpt-simple
foreign, the restaurant serves a variety of delicious foreign dishes,gpt-simple
foreign, it took him a while to adjust to the foreign customs and traditions,gpt-simple
dismiss, the judge decided to dismiss the case due to lack of evidence,gpt-simple
dismiss, the manager called the employee into their office to dismiss them from their job,gpt-simple
dismiss, the teacher dismissed the students from class early because of a fire drill,gpt-simple
dismiss, the athlete was dismissed from the team for violating the code of conduct,gpt-simple
dismiss, the committee unanimously voted to dismiss the proposal as impractical,gpt-simple
means, the means by which he achieved success was through hard work and dedication,gpt-simple
means, we need to find a means to solve this problem,gpt-simple
means, the end justifies the means,gpt-simple
means, he used every available means to persuade her to change her mind,gpt-simple
means, the means of transportation in this city are mainly buses and trains,gpt-simple
list, i need to make a shopping list before i go to the grocery store,gpt-simple
list, she checked off each item on her to-do list as she completed them,gpt-simple
list, the teacher handed out a list of vocabulary words for the students to study,gpt-simple
list, he made a mental list of all the places he wanted to visit during his vacation,gpt-simple
list, the committee compiled a list of potential candidates for the job opening,gpt-simple
explore," as an avid traveler, i love to explore new countries and immerse myself in different cultures",gpt-simple
explore," the scientist set out to explore the uncharted depths of the ocean, hoping to discover new species",gpt-simple
explore," the children decided to explore the nearby forest, eager to find hidden treasures and secret paths",gpt-simple
explore," the artist used her canvas to explore the depths of her emotions, creating thought-provoking and powerful artwork",gpt-simple
explore," the detective carefully explored the crime scene, searching for any clues that could lead to the identity of the perpetrator",gpt-simple
simple, the recipe for apple pie is quite simple to follow,gpt-simple
simple, he has a simple and straightforward approach to problem-solving,gpt-simple
simple," the design of the building is sleek and simple, with clean lines and minimal decoration",gpt-simple
simple," she prefers simple outfits, such as jeans and a plain t-shirt",gpt-simple
simple, the teacher explained the concept in a simple way that everyone could understand,gpt-simple
dare, i dare you to eat that spicy pepper,gpt-simple
dare, how dare you speak to me like that?,gpt-simple
dare, i wouldn't dare to jump off that high cliff,gpt-simple
dare, she dared to challenge the reigning champion,gpt-simple
dare, the child dared to ask the teacher a difficult question,gpt-simple
deceased, the deceased was laid to rest at the cemetery yesterday,gpt-simple
deceased, we received news of the deceased's passing this morning,gpt-simple
deceased, the lawyer informed us that the deceased had left a will,gpt-simple
deceased, the family gathered to mourn the deceased at the funeral home,gpt-simple
deceased, the deceased's belongings were distributed among the heirs,gpt-simple
problem," the math problem was challenging, but i managed to solve it",gpt-simple
problem," the car engine has a problem, and it needs to be repaired",gpt-simple
problem, the country is facing a major economic problem due to high unemployment rates,gpt-simple
problem, she has a drinking problem and needs professional help,gpt-simple
problem, the team is working together to find a solution to the problem,gpt-simple
glass, i sipped my orange juice from a tall glass,gpt-simple
glass, the glass shattered into tiny pieces when it fell off the table,gpt-simple
glass, she wore a pair of stylish glasses to correct her vision,gpt-simple
glass, the artist carefully blew into the molten glass to shape it into a vase,gpt-simple
glass, the skyscraper's windows were made of reflective glass,gpt-simple
request, she made a polite request for more information,gpt-simple
request, i received a request to attend a meeting next week,gpt-simple
request, the customer's request for a refund was denied,gpt-simple
request, the principal granted the teacher's request for a field trip,gpt-simple
request, he sent a formal request to the company for a job interview,gpt-simple
burning, the burning sun scorched my skin as i walked along the beach,gpt-simple
burning, the burning wood in the fireplace filled the room with warmth and a cozy atmosphere,gpt-simple
burning, her burning desire to succeed motivated her to work tirelessly towards her goals,gpt-simple
burning, the burning smell coming from the kitchen alerted us to the fact that dinner was ready,gpt-simple
burning, the burning sensation in my throat made it difficult to swallow after eating spicy food,gpt-simple
fresh, the bakery just received a shipment of fresh bread this morning,gpt-simple
fresh, i love the smell of fresh flowers in the springtime,gpt-simple
fresh, she always starts her day with a fresh cup of coffee,gpt-simple
fresh, the fish at the market is guaranteed to be fresh and never frozen,gpt-simple
fresh, the newly painted walls gave the room a fresh and vibrant look,gpt-simple
hurt, she hurt her ankle while playing soccer,gpt-simple
hurt, the harsh words he said hurt her feelings,gpt-simple
hurt, the knife slipped and hurt his hand,gpt-simple
hurt, he hurt his back lifting heavy boxes,gpt-simple
hurt, the loud music hurt my ears,gpt-simple
fling, she decided to have a fling with her co-worker while on vacation,gpt-simple
fling, the children were so excited to fly kites and fling themselves into the air,gpt-simple
fling, he flung the door open and stormed out of the room in anger,gpt-simple
fling," the actor's performance was a fling of emotions, captivating the audience",gpt-simple
fling," she flung herself into her work, determined to finish the project ahead of schedule",gpt-simple
cruel," the cruel dictator ruled the country with an iron fist, suppressing any opposition",gpt-simple
cruel, it was a cruel twist of fate that she lost her job on the same day her car broke down,gpt-simple
cruel, the cruel prank left the victim feeling humiliated and hurt,gpt-simple
cruel, she couldn't bear to watch the cruel treatment of animals in the circus,gpt-simple
cruel, the cruel winter storm left thousands of people without power for days,gpt-simple
plan, she made a detailed plan for her upcoming vacation,gpt-simple
plan, the architect presented his plan for the new building to the client,gpt-simple
plan, we need to come up with a plan to increase sales,gpt-simple
plan, the rescue team executed their emergency evacuation plan flawlessly,gpt-simple
plan," i have no plan for this evening, so i'm open to suggestions",gpt-simple
cost, the cost of living in this city is quite high,gpt-simple
cost, how much does that dress cost?,gpt-simple
cost, the cost of the project exceeded our budget,gpt-simple
cost, the cost of admission to the museum is $10,gpt-simple
cost, she realized the cost of her actions when it was too late,gpt-simple
burn, i accidentally burned my hand on the stove,gpt-simple
burn, the fire continued to burn throughout the night,gpt-simple
burn, she used a match to burn the candle,gpt-simple
burn, the sunburn caused her skin to peel,gpt-simple
burn, the intense workout made his muscles burn,gpt-simple
repair, john took his car to the mechanic to repair the engine,gpt-simple
repair, sarah called a plumber to repair the leaky pipe in her kitchen,gpt-simple
repair, the company hired a team of experts to repair the damaged computer system,gpt-simple
repair, the tailor offered to repair the tear in my favorite shirt,gpt-simple
repair," after the storm, the construction crew worked tirelessly to repair the broken power lines",gpt-simple
document, i need to print out this important document for tomorrow's meeting,gpt-simple
document, can you please email me the document so i can review it before our discussion?,gpt-simple
document, the historical document provided valuable insights into the lives of people during that time period,gpt-simple
document, the software allows you to easily create and edit documents with various formatting options,gpt-simple
document, the lawyer presented a document as evidence to support his client's case,gpt-simple
strange, i had a <b>strange</b> feeling that i was being watched,gpt-simple
strange, it's <b>strange</b> how quickly time flies when you're having fun,gpt-simple
strange, the new student wore <b>strange</b> clothes that no one had ever seen before,gpt-simple
strange, the old house had a <b>strange</b> smell that lingered in the air,gpt-simple
strange, the scientist made a <b>strange</b> discovery that challenged existing theories,gpt-simple
environment, the natural environment of the rainforest is home to a diverse range of plant and animal species,gpt-simple
environment, growing up in a noisy and chaotic environment can have a negative impact on a child's development,gpt-simple
environment, the company is committed to reducing its carbon footprint and creating a sustainable business environment,gpt-simple
environment," the political environment in the country is tense and unstable, with protests happening on a regular basis",gpt-simple
environment, it is important to create a positive work environment that fosters collaboration and productivity among employees,gpt-simple
amaze, the magician's tricks never fail to amaze the audience,gpt-simple
amaze, i amaze myself with how much i can accomplish when i put my mind to it,gpt-simple
amaze, the beautiful sunset over the ocean never ceases to amaze me,gpt-simple
amaze, the intricate architecture of the ancient cathedral left me in complete amazement,gpt-simple
amaze, the talented young singer's performance amazed everyone in the crowd,gpt-simple
capital, the capital of france is paris,gpt-simple
capital, she invested her capital in the stock market,gpt-simple
capital, the company is planning to build a new capital building,gpt-simple
capital, the protestors demanded a reduction in capital punishment,gpt-simple
capital, he used his capital to start his own business,gpt-simple
present, i will be present at the meeting tomorrow,gpt-simple
present, he gave me a present for my birthday,gpt-simple
present, please present your ideas at the conference,gpt-simple
present, the teacher asked the students to present their projects,gpt-simple
present," she was absent from school, so she couldn't present her report",gpt-simple
snake, i saw a snake slithering through the grass,gpt-simple
snake, the plumber used a snake to unclog the drain,gpt-simple
snake, she wore a snake necklace that wrapped around her wrist,gpt-simple
snake, the politician was known for his ability to snake his way out of tough questions,gpt-simple
snake, the hiker stumbled upon a snake in the middle of the trail,gpt-simple
hole, i dug a deep hole in the ground to plant a tree,gpt-simple
hole, the golf ball rolled into a hole on the green,gpt-simple
hole," there was a small hole in the fence, allowing the cat to escape",gpt-simple
hole, the detective examined the crime scene for any clues that could fill in the holes in the investigation,gpt-simple
hole, she realized that there was a hole in her argument and quickly tried to find evidence to support her claims,gpt-simple
release, the new movie release was highly anticipated by fans,gpt-simple
release, he decided to release his anger by going for a long run,gpt-simple
release, the company plans to release a new product next month,gpt-simple
release, the police officer decided to release the suspect due to lack of evidence,gpt-simple
release, she felt a sense of relief after the doctor gave her the all-clear to release from the hospital,gpt-simple
hour, i will meet you at the coffee shop in one hour,gpt-simple
hour, the movie lasted for two hours,gpt-simple
hour, she studied for several hours before the exam,gpt-simple
hour, the bakery is open 24 hours a day,gpt-simple
hour, he worked tirelessly for hours to complete the project,gpt-simple
express, she used the paintbrush to express her emotions on the canvas,gpt-simple
express, the politician used the press conference to express his views on the current state of affairs,gpt-simple
express, the actor's facial expressions were so vivid that they could instantly convey a range of emotions,gpt-simple
express, the company decided to express their gratitude to their employees by giving them a bonus,gpt-simple
express, the fashion designer used vibrant colors and bold patterns to express her unique style,gpt-simple
wear, she likes to wear colorful dresses to parties,gpt-simple
wear, the hiker wore a hat to protect herself from the sun,gpt-simple
wear, he decided to wear a suit to the job interview,gpt-simple
wear, the athlete wears special shoes for better performance,gpt-simple
wear, my grandmother wears glasses to read,gpt-simple
neglect, the parents were accused of child neglect for leaving their young children home alone,gpt-simple
neglect," the garden was overgrown and full of weeds, showing signs of neglect",gpt-simple
neglect, the teacher had to give a warning to the student for neglecting their homework,gpt-simple
neglect," the neglected puppy was found wandering the streets, hungry and scared",gpt-simple
neglect, the government's neglect of the infrastructure led to crumbling roads and bridges,gpt-simple
glance, she took a quick glance at her watch to check the time before running to catch the bus,gpt-simple
glance, the student glanced nervously at his notes before beginning his presentation,gpt-simple
glance," as she walked past the mirror, she caught a glance of her reflection and smiled",gpt-simple
glance, the detective's keen eye caught a glance of a suspicious figure lurking in the shadows,gpt-simple
glance," the hiker glanced up at the towering mountain peaks, awestruck by their beauty",gpt-simple
decline, she politely declined the invitation to the party,gpt-simple
decline, the company's profits continue to decline each quarter,gpt-simple
decline, the doctor informed her that her health was starting to decline,gpt-simple
decline," after careful consideration, he decided to decline the job offer",gpt-simple
decline, the decline in newspaper readership has led to the rise of online news sources,gpt-simple
tense,the tense atmosphere in the room was palpable as the two rival teams prepared to face off in the final match,gpt-simple
tense,"she spoke in a tense voice, her words filled with anger and frustration",gpt-simple
tense,"after receiving the news, he felt a surge of tense emotions, unsure of how to process the information",gpt-simple
tense,"as the deadline approached, the writer became increasingly tense, struggling to find the right words to convey their message",gpt-simple
tense,"the tense silence between them spoke volumes, highlighting the unresolved issues in their relationship",gpt-simple
remain, the sun will remain visible for a few more hours,gpt-simple
remain," despite the storm, the house remained standing",gpt-simple
remain, please remain seated until the bus comes to a complete stop,gpt-simple
remain, the flowers will remain fresh if you water them regularly,gpt-simple
remain, he tried to remain calm despite the chaotic situation,gpt-simple
drift, the boat began to drift aimlessly in the calm waters,gpt-simple
drift, i could feel my mind starting to drift off during the boring lecture,gpt-simple
drift, the snow drifts were so high that we struggled to make our way through,gpt-simple
drift, the conversation drifted from politics to sports as the evening wore on,gpt-simple
drift," the company's profits continued to drift downward, causing concern among shareholders",gpt-simple
arch, the arch of the bridge spanned gracefully over the river,gpt-simple
arch, the architect designed a beautiful archway for the entrance of the building,gpt-simple
arch," the professor has an arch sense of humor, always cracking jokes in class",gpt-simple
arch, she arched her back in a graceful stretch after sitting for hours,gpt-simple
arch, the detective discovered an arch enemy in his pursuit of justice,gpt-simple
limit, the speed limit on this road is 50 miles per hour,gpt-simple
limit, there is a limit to how much you can spend on groceries each week,gpt-simple
limit, the teacher set a word limit of 500 words for the essay,gpt-simple
limit, we need to limit our use of plastic to protect the environment,gpt-simple
limit, the company has imposed a limit on the number of vacation days employees can take,gpt-simple
become, she wanted to become a doctor when she grew up,gpt-simple
become, the caterpillar will soon become a butterfly,gpt-simple
become, his hard work and dedication allowed him to become the ceo of the company,gpt-simple
become," with practice, he hopes to become a skilled pianist",gpt-simple
become, the empty field will become a bustling city in a few years,gpt-simple
smash, he used a hammer to smash the glass bottle into tiny pieces,gpt-simple
smash, the car came to a sudden stop and the driver's head smashed into the windshield,gpt-simple
smash, the tennis player hit a powerful smash to win the match,gpt-simple
smash, the angry child threw a tantrum and started to smash his toys on the ground,gpt-simple
smash," the party was a huge success, with people dancing and smashing piñatas",gpt-simple
cardboard, she used a piece of cardboard to create a makeshift sign for the garage sale,gpt-simple
cardboard," the packaging for the new tv was made of thick, sturdy cardboard",gpt-simple
cardboard, the children built a fort out of cardboard boxes in the backyard,gpt-simple
cardboard, he slipped a sheet of cardboard under the wobbly table leg to stabilize it,gpt-simple
cardboard, the artist used cardboard as a canvas for his unique sculptures,gpt-simple
duplicate, please make a duplicate copy of this document for your records,gpt-simple
duplicate, the artist created a duplicate of the original painting to sell as a limited edition print,gpt-simple
duplicate, we accidentally ordered a duplicate shipment of office supplies,gpt-simple
duplicate, it is against the law to duplicate copyrighted material without permission,gpt-simple
duplicate, the computer system automatically creates a duplicate backup of important files,gpt-simple
elegance, her dress exuded elegance as she walked into the room,gpt-simple
elegance," the ballroom was decorated with a touch of elegance, with chandeliers and flowing curtains",gpt-simple
elegance," his speech was filled with eloquence and elegance, captivating the audience",gpt-simple
elegance, the graceful ballet dancer moved across the stage with elegance and precision,gpt-simple
