LEMMA,DEFINITION,EXAMPLE,POS
rattling,extraordinarily good or great; used especially as intensifiers,had a rattling conversation about politics,s
cropped,(of land or soil) used for growing crops,cropped soil,s
poised,marked by balance or equilibrium and readiness for action,a gull in poised flight,s
ball,a more or less rounded anatomical body or mass,the ball at the base of the thumb,n
defensive,intended or appropriate for defending against or deterring aggression or attack,defensive weapons,a
penciled,drawn or written with a pencil,the penciled message,a
fateful,(of events) having extremely unfortunate or dire consequences; bringing ruin,a fateful error,s
bad,feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'),my throat feels bad,s
express,without unnecessary stops,an express shipment,s
benign,pleasant and beneficial in nature or influence,a benign smile,a
deceitful,marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another,"she was a deceitful scheming little thing""- Israel Zangwill",s
rapid,characterized by speed; moving with or capable of moving with high speed,a rapid movement,s
intention,(usually plural) the goal with respect to a marriage proposal,his intentions are entirely honorable,n
sparkling,used of wines and waters; charged naturally or artificially with carbon dioxide,sparkling wines,a
radiosensitive,sensitive to radiation,radiosensitive cancer cells can be treated with radiotherapy,s
jaundiced,showing or affected by prejudice or envy or distaste,looked with a jaundiced eye on the growth of regimentation,s
between,in between,two houses with a tree between,r
spurner,a person who rejects (someone or something) with contempt,he was no spurner of rules,n
rightmost,farthest to the right,in the rightmost line of traffic,s
intentionally,with intention; in an intentional manner,he used that word intentionally,r
stiff,rigidly formal,the letter was stiff and formal,s
gladsome,experiencing or expressing gladness or joy,a gladsome occasion,s
ultimate,the finest or most superior quality of its kind,the ultimate in luxury,n
line,a slight depression in the smoothness of a surface,his face has many lines,n
constituent,something determined in relation to something that includes it,the animal constituent of plankton,n
invariable,not liable to or capable of change,his invariable courtesy,a
old,of long duration; not new,old tradition,a
scopolamine,an alkaloid with anticholinergic effects that is used as a sedative and to treat nausea and to dilate the pupils in ophthalmic procedures,someone sedated with scopolamine has difficulty lying,n
jack,a small worthless amount,you don't know jack,n
careless,marked by lack of attention or consideration or forethought or thoroughness; not careful,hurt by a careless remark,a
words,the text of a popular song or musical-comedy number,he wrote both words and music,n
muted,being or made softer or less loud or clear,muted trumpets,s
voracious,excessively greedy and grasping,paying taxes to voracious governments,s
benighted,lacking enlightenment or knowledge or culture,benighted ages of barbarism and superstition,s
sacred,made or declared or believed to be holy; devoted to a deity or some religious ceremony or use,sacred elephants,s
yearlong,lasting through a year,attending yearlong courses,s
gladiatorial,of or relating to or resembling gladiators or their combat,gladiatorial combats,a
dark,lacking enlightenment or knowledge or culture,a dark age in the history of education,s
Catalan,relating to or characteristic of the Catalan language,Catalan poetry,a
cynically,with cynicism; in a cynical manner,Larsen's frost-blackened lips curved cynically,r
apart,into parts or pieces,split apart,r
helplessly,in a helpless manner,the crowd watched him helplessly,r
hazily,through a haze,we saw the distant hills hazily,r
subtle,difficult to detect or grasp by the mind or analyze,a subtle difference,s
Tudor,of or relating to a style of architecture in England in the 15th century,Tudor furniture,a
planted,(used especially of ideas or principles) deeply rooted; firmly fixed or held,a deeply planted need,s
empyrean,of or relating to the sky or heavens,the empyrean sphere,a
inbound,directed or moving inward or toward a center,the inbound train,s
confirmed,having been established or made firm or received the rite of confirmation,confirmed reservations,a
oblateness,the property possessed by a round shape that is flattened at the poles,the oblateness of the planet,n
cleanly,in an adroit manner,he bounced it cleanly off the wall,r
dermatoglyphics,the study of the whorls and loops and arches in the fingertips and on the palms of the hand and the soles of the feet,some criminologists specialize in dermatoglyphics,n
dead,(followed by `to') not showing human feeling or sensitivity; unresponsive,passersby were dead to our plea for help,s
bad,below average in quality or performance,a bad chess player,s
freight,the charge for transporting something by common carrier,we pay the freight,n
reed,a vibrator consisting of a thin strip of stiff material that vibrates to produce a tone when air streams over it,the clarinetist fitted a new reed onto his mouthpiece,n
application,the act of bringing something to bear; using it for a particular purpose,a novel application of electronics to medical diagnosis,n
appeal,request for a sum of money,an appeal to raise money for starving children,n
slothful,disinclined to work or exertion,slothful employees,s
royal,belonging to or befitting a supreme ruler,treated with royal acclaim,s
title,the name of a work of art or literary composition etc.,he looked for books with the word `jazz' in the title,n
duty-free,exempt from duty,duty-free liquor,s
sere,(used especially of vegetation) having lost all moisture,the desert was edged with sere vegetation,s
minute,a short note,the secretary keeps the minutes of the meeting,n
mellow,"soften, make mellow",Age and experience mellowed him over the years,v
opposite,characterized by opposite extremes; completely opposed,opposite meanings,s
southern,situated in or coming from regions of the south,southern constellations,a
male,characteristic of a man,a deep male voice,s
obstructively,in an obstructive manner,he acted very obstructively when we tried to carry out our project,r
flat-bottom,having a flat bottom,a flat-bottomed boat,s
summary,a brief statement that presents the main points in a concise form,he gave a summary of the conclusions,n
drum,the sound of a drum,he could hear the drums before he heard the fifes,n
airy,characterized by lightness and insubstantiality; as impalpable or intangible as air,an airy apparition,s
tense,"become tense, nervous, or uneasy",He tensed up when he saw his opponent enter the room,v
Mass,a musical setting for a Mass,they played a Mass composed by Beethoven,n
coupling,the act of pairing a male and female for reproductive purposes,the casual couplings of adolescents,n
minus,on the negative side or lower end of a scale,minus 5 degrees,a
deep-sea,of or taking place in the deeper parts of the sea,deep-sea exploration,s
seat,the legal right to sit as a member in a legislative or similar body,he was elected to a seat in the Senate,n
homely,without artificial refinement or elegance,plain homely furniture,s
fashionable,being or in accordance with current social fashions,a fashionable cafe,a
coarse,of textures that are rough to the touch or substances consisting of relatively large particles,coarse sand,a
tonic,relating to or being the keynote of a major or minor scale,tonic harmony,s
hands-down,achieved without great effort,a hands-down victory,s
sudden,happening without warning or in a short space of time,a sudden cure,a
ineligible,not eligible,ineligible for retirement benefits,a
skimpy,containing little excess,a skimpy allowance,s
sober,become sober after excessive alcohol consumption,Keep him in bed until he sobers up,v
rule,a rule or law concerning a natural phenomenon or the function of a complex system,the right-hand rule for inductive fields,n
shot,a small drink of liquor,he poured a shot of whiskey,n
evermore,at any future time; in the future,lead a blameless life evermore,r
wound,a figurative injury (to your feelings or pride),"The right reader of a good poem can tell the moment it strikes him that he has taken an immortal wound--that he will never get over it""--Robert Frost",n
meaningful,having a meaning or purpose,a meaningful discussion,a
truculently,in a defiantly truculent manner,the boy looked up truculently at his teacher,r
nonaddictive,not causing or characterized by addiction,for years tobacco companies have contended that tobacco is nonaddictive,a
reluctant,not eager,foreigners stubbornly reluctant to accept our ways,s
rawness,a pain that is felt (as when the area is touched),"after taking a cold, rawness of the larynx and trachea come on",n
doctoral,of or relating to a doctor or doctorate,doctoral dissertation,a
junior,term of address for a disrespectful and annoying male,"look here, junior, it's none of your business",n
spare,"more than is needed, desired, or required",sleeping in the spare room,s
palace,the governing group of a kingdom,the palace issued an order binding on all subjects,n
feeling,a vague idea in which some confidence is placed,what are your feelings about the crisis?,n
unwanted,not wanted; not needed,tried to give away unwanted kittens,a
nonproliferation,the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons),they protested that the nonproliferation treaty was just a plot to maintain the hegemony of those who already had nuclear weapons,n
dead,no longer having force or relevance,a dead issue,s
ungeared,having gears not engaged or disconnected,the machine's ungeared pinion,a
shrewish,continually complaining or faultfinding,a shrewish wife,s
pneumonic,pertaining to or characterized by or affected by pneumonia,pneumonic plague,a
trophic,of or relating to nutrition,a trophic level on the food chain,a
dingy,(of color) discolored by impurities; not bright and clear,a dirty (or dingy) white,s
undenominational,not bound or devoted to the promotion of a particular denomination,undenominational religious instruction,s
careful,exercising caution or showing care or attention,careful art restorers,a
contraction,the process or result of becoming smaller or pressed together,the contraction of a gas on cooling,n
tangible,(of especially business assets) having physical substance and intrinsic monetary value,tangible assets such as machinery,a
plainly,in a simple manner; without extravagance or embellishment,she was dressed plainly,r
glorious,having great beauty and splendor,a glorious sunset,s
reading,a particular interpretation or performance,he was famous for his reading of Mozart,n
worry,something or someone that causes anxiety; a source of unhappiness,it's a major worry,n
mid,used in combination to denote the middle,midmorning,s
briefly,for a short time,was briefly associated with IBM,r
frothy,emitting or filled with bubbles as from carbonation or fermentation,foamy (or frothy) beer,s
voracious,devouring or craving food in great quantities,voracious sharks,s
offhand,without previous thought or preparation,couldn't give the figures offhand,r
coalescent,"growing together, fusing",coalescent bones,s
take,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",take the gun from your pocket,v
climb,the act of climbing something,it was a difficult climb to the top,n
necktie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,he stood in front of the mirror tightening his necktie,n
aestival,(rare) of or occurring in summer,the sky was a burnished aestival blue,s
dribbler,"a person who dribbles; he needs a bib""",that baby is a dribbler,n
solid,impenetrable for the eye,solid blackness,s
intrepid,invulnerable to fear or intimidation,intrepid pioneers,s
shucks,something of little value,not worth shucks,n
sordid,meanly avaricious and mercenary,sordid avarice,s
intellectual,of or associated with or requiring the use of the mind,intellectual problems,s
recalculation,the act of calculating again (usually to eliminate errors or to include additional data),recalculation yielded a much larger value,n
caveat,a warning against certain acts,a caveat against unfair practices,n
physiological,of or relating to the biological study of physiology,physiological psychology,a
call,(sports) the decision made by an umpire or referee,he was ejected for protesting the call,n
slice,a share of something,a slice of the company's revenue,n
naval,connected with or belonging to or used in a navy,naval commander,a
hell-for-leather,at breakneck speed,they were travelling hell-for-leather,r
nation,the people who live in a nation or country,the news was announced to the nation,n
usage,the customary manner in which a language (or a form of a language) is spoken or written,a usage borrowed from French,n
squeaker,any artifact that makes a squeaking sound when used,which hinge is the squeaker?,n
buxom,(of a female body) healthily plump and vigorous; ,"a generation ago...buxom actresses were popular""- Robt.A.Hamilton",s
deprecatory,tending to diminish or disparage,deprecatory remarks about the book,s
infatuated,marked by foolish or unreasoning fondness,he was infatuated with her,s
tunelessly,in a tuneless fashion,he whistled tunelessly,r
breasted,having a breast or breasts; or breasts as specified; used chiefly in compounds,small-breasted,a
skeptical,marked by or given to doubt,a skeptical listener,s
sale,the general activity of selling,laws limit the sale of handguns,n
unenviable,so undesirable as to be incapable of arousing envy,unenviable notoriety,s
brushed,(of hair or clothing) groomed with a brush,the freshly brushed clothes hung in the closet,s
fatalist,of or relating to fatalism,a fatalist person,a
appeal,attractiveness that interests or pleases or stimulates,his smile was part of his appeal to her,n
papal,proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles,papal dispensation,a
frowningly,with a frown; while frowning,he looked at her frowningly,r
mobile,moving or capable of moving readily (especially from place to place),a mobile missile system,a
curtly,"in a curt, abrupt and discourteous manner",he told me curtly to get on with it,r
enabling,providing legal power or sanction,an enabling resolution,a
intervening,occurring or falling between events or points in time,so much had happened during the intervening years,s
humic,of or relating to or derived from humus,humic acid,a
first,highest in pitch or chief among parts or voices or instruments or orchestra sections,the first violin section,a
light,(of sleep) easily disturbed,a light sleeper,s
antrorse,bent or curved forward or upward,a plant having antrorse hairs on the stem,a
malevolent,wishing or appearing to wish evil to others; arising from intense ill will or hatred,failure made him malevolent toward those who were successful,s
boned,having had the bones removed,a boned (or deboned) fish,s
devotedly,with devotion,He served his master devotedly,r
repressive,restrictive of action,a repressive regime,s
successfully,with success; in a successful manner,she performed the surgery successfully,r
broken,(especially of promises or contracts) having been violated or disregarded,broken contracts,a
smoldering,showing scarcely suppressed anger,"her tone was...conversational although...her eyes were smoldering""- James Hensel",s
knotted,used of old persons or old trees; covered with knobs or knots,gnarled and knotted hands,s
willingly,in a willing manner,I willingly accept,r
way,a line leading to a place or point,didn't know the way home,n
hood,protective covering consisting of a metal part that covers the engine,there are powerful engines under the hoods of new cars,n
collapse,a natural event caused by something suddenly falling down or caving in,the collapse of the old star under its own gravity,n
impartially,in an impartial manner,he smiled at them both impartially,r
literatim,letter for letter,the message was transcribed literatim,r
secret,not expressed,secret (or private) thoughts,s
line,persuasive but insincere talk that is usually intended to deceive or impress,that salesman must have practiced his fast line of talk,n
discreet,unobtrusively perceptive and sympathetic,a discreet silence,s
any,to any degree or extent,it isn't any better,r
primordial,having existed from the beginning; in an earliest or original stage or state,primordial forms of life,s
let,cause to move; cause to be in a certain position or condition,This let me in for a big surprise,v
dateless,not bearing a date,a dateless letter,s
articulatory,of or relating to articulation,articulatory features,a
vivace,"lively, in music",play this section vivace!,r
cross-pollination,stimulating influence among diverse elements,the cross-pollination of the arts,n
high-resolution,producing images that are sharp and finely detailed,a high-resolution lens,a
weighty,having relatively great weight; heavy,a weighty package,a
telescopic,capable of discerning distant objects,a telescopic eye,s
barren,providing no shelter or sustenance,barren lands,s
regrow,grow anew or continue growth after an injury or interruption,some invertebrates can regrow limbs or their tail after they lost it due to an injury,v
pristine,completely free from dirt or contamination,pristine mountain snow,s
Word,the sacred writings of the Christian religions,he went to carry the Word to the heathen,n
maliciously,with malice; in a malicious manner,she answered maliciously,r
adapted,changed in order to improve or made more fit for a particular purpose,seeds precisely adapted to the area,s
tied,fastened with strings or cords,a neatly tied bundle,a
squatty,short and thick; as e.g. having short legs and heavy musculature,a squatty red smokestack,s
idle,silly or trivial,light idle chatter,s
unbitter,having or showing no resentment or desire for revenge,remarkably unbitter toward her captors,s
measure,any maneuver made as part of progress toward a goal,the situation called for strong measures,n
reckless,marked by defiant disregard for danger or consequences,"became the fiercest and most reckless of partisans""-Macaulay",s
orientalism,the quality or customs or mannerisms characteristic of Asian civilizations,orientalisms can be found in Mozart's operas,n
defect,an imperfection in a bodily system,visual defects,n
savory,morally wholesome or acceptable,a past that was scarcely savory,a
track,a distinct selection of music from a recording or a compact disc,the title track of the album,n
put-up,planned secretly,it was a put-up job,s
voiceless,uttered without voice,voiceless whispers,s
cunningly,in an attractive manner,how cunningly the olive-green dress with its underskirt of rose-brocade fitted her perfect figure,r
shelflike,resembling a shelf (or considered to resemble a shelf),shelflike table,a
dog-tired,drained of energy or effectiveness; extremely tired; completely exhausted,he went to bed dog-tired,s
adhesion,faithful support for a cause or political party or religion,the adhesion of Seville was decisive,n
hold-down,a limitation or constraint,taxpayers want a hold-down on government spending,n
impatient,restless or short-tempered under delay or opposition,impatient of criticism,a
rusted,having accumulated rust,rusted hinges,a
bosky,covered with or consisting of bushes or thickets,`bosky' is a literary term,s
intensive,tending to give force or emphasis,an intensive adverb,a
unhealthy,not in or exhibiting good health in body or mind,unhealthy ulcers,a
low-budget,made on or suited to a limited budget,a low-budget menu,s
unregulated,without regulation or discipline,an unregulated environment,s
light,less than the correct or legal or full amount often deliberately so,a light pound,s
surefooted,not liable to error in judgment or action,"demonstrates a surefooted storytelling talent""- Michiko Kakutani",s
close,in an attentive manner,he remained close on his guard,r
indiscreet,lacking discretion; injudicious,her behavior was indiscreet at the very best,a
judgmental,depending on judgment,I think that she is too judgmental to be a good therapist,a
forensic,used or applied in the investigation and establishment of facts or evidence in a court of law,forensic ballistics,s
nightly,happening every night,nightly television now goes on until 3:00 or 4:00 a.m.,s
Mammon,(New Testament) a personification of wealth and avarice as an evil spirit,ye cannot serve God and Mammon,n
elaborated,developed or executed with care and in minute detail,the carefully elaborated theme,s
straight,without evasion or compromise,he is not being as straightforward as it appears,s
adrift,floating freely; not anchored,the boat wasset adrift,r
reservation,a statement that limits or restricts some claim,he recommended her without any reservations,n
broken,destroyed financially,the broken fortunes of the family,s
optimization,the act of rendering optimal,to promote the optimization and diversification of agricultural products,n
immovable,not able or intended to be moved,the immovable hills,s
discernible,perceptible by the senses or intellect,the skyline is easily discernible even at a distance of several miles,a
Old,of a very early stage in development,Old English is also called Anglo Saxon,s
cosmetic,serving an aesthetic purpose in beautifying the body,cosmetic surgery,s
very,precisely so,he expected the very opposite,r
sprachgefuhl,an intuitive feeling for the natural idiom of a language,Dubyuh has no sprachgefuhl,n
childless,without offspring,in some societies a childless woman is rejected by her tribesmen,s
flabbergasted,as if struck dumb with astonishment and surprise,the flabbergasted aldermen were speechless,s
dutiful,willingly obedient out of a sense of duty and respect; ,a dutiful citizen,s
recognition,the state or quality of being recognized or acknowledged,the partners were delighted with the recognition of their work,n
operation,(computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction),it can perform millions of operations per second,n
pubic,relating or near the pubis,pubic bones,a
pickup,a warrant to take someone into custody,put out a pickup on that man,n
harmless,not causing or capable of causing harm,harmless bacteria,a
startling,so remarkably different or sudden as to cause momentary shock or alarm,startling earthquake shocks,s
quarters,housing available for people to live in,he found quarters for his family,n
criticism,disapproval expressed by pointing out faults or shortcomings,the senator received severe criticism from his opponent,n
initial,occurring at the beginning,took the initial step toward reconciliation,s
quarantined,under forced isolation especially for health reasons,a quarantined animal,s
party,an occasion on which people can assemble for social interaction and entertainment,he planned a party to celebrate Bastille Day,n
do-nothing,characterized by inability or unwillingness to work toward a goal or assume responsibility,a do-nothing government,s
lively,full of life and energy,lively and attractive parents,a
top,the first half of an inning; while the visiting team is at bat,a relief pitcher took over in the top of the fifth,n
contaminated,rendered unwholesome by contaminants and pollution,had to boil the contaminated water,s
addled,confused and vague; used especially of thinking,your addled little brain,s
nagging,continually complaining or faultfinding,nagging parents,s
Papuan,of or relating to Papua or its people or language,Papuan native crafts,a
confusedly,in a confused manner,Queen Augusta wrote him an hysterical letter in which she confusedly sympathised with him,r
blandness,the trait of exhibiting no personal embarrassment or concern,the blandness of his confession enraged the judge,n
vigilance,the process of paying close and continuous attention,vigilance is especially susceptible to fatigue,n
squeamish,excessively fastidious and easily disgusted,so squeamish he would only touch the toilet handle with his elbow,s
mechanically,in a machinelike manner; without feeling,he smiled mechanically,r
up,spatially or metaphorically from a lower to a higher position,look up!,r
nonspecific,not caused by a specific agent; used also of staining in making microscope slides,nonspecific enteritis,a
blue,causing dejection,a blue day,s
agonistic,striving to overcome in argument,a dialectical and agonistic approach,s
thickly,spoken with poor articulation as if with a thick tongue,after a few drinks he was beginning to speak thickly,r
gastric,relating to or involving the stomach,gastric ulcer,a
blue,suggestive of sexual impropriety,blue jokes,s
pass,a flight or run by an aircraft over a target,the plane turned to make a second pass,n
fair,in conformity with the rules or laws and without fraud or cheating,they played fairly,r
hemoglobin,a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues,fish have simpler hemoglobin than mammals,n
bicuspid,having two cusps or points (especially a molar tooth),bicuspid teeth,s
informal,not formal,an informal free-and-easy manner,a
posted,publicly announced,the posted speed limit,a
western,lying toward or situated in the west,our company's western office,s
unfriendly,very unfavorable to life or growth,the unfriendly environment at high altitudes,s
softhearted,easily moved to pity or sorrow,a softhearted judge,a
evening,a later concluding time period,it was the evening of the Roman Empire,n
bottommost,farthest down,bottommost shelf,s
